ProductName,Quantity,Price,Desc
Laptop,15,899.99,High-performance laptop with 16GB RAM
Wireless Mouse,50,29.99,Ergonomic wireless mouse with USB receiver
Keyboard,30,79.99,Mechanical keyboard with RGB lighting
Monitor,20,299.99,27-inch 4K UHD monitor
USB Cable,100,9.99,USB-C to USB-A cable 6ft
Headphones,25,149.99,Noise-cancelling over-ear headphones
Webcam,40,59.99,1080p HD webcam with built-in microphone
Desk Lamp,35,39.99,LED desk lamp with adjustable brightness
Phone Stand,60,19.99,Adjustable aluminum phone stand
External SSD,18,129.99,1TB portable external SSD drive
